type,county,name,address,hours,days
Food Pantry,Allegany,Salvation Army,"701 E. First St., Cumberland, MD 21502",8am-4pm,Mon-Fri
Food Pantry,Allegany,Lavale U.M.C,"565 National Highway, Lavandale, MD 21502",9:30am-3:30pm,Tue-Fri
Food Pantry,Allegany,Christ U.M.C.,"4th & Race Street, Cumberland, MD 21502",8am-4pm,Mon-Fri
Food Pantry,Allegany,Frostburgh Pantry,"P.O. Box 301, Frostburgh, MD 21532",10am-2pm,Mon-Fri
Food Pantry,Allegany,Cumberland Church of God,"401 Industrial Blvd., Cumberland, MD 21502",10am-1pm/4-6pm,"Wed,Fri"
Food Pantry,Allegany,John F. Kennedy (Restricted - tenants only),"Mechanic St., #408, Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Cumberland Manor (Restricted - tenants only),"29 Baltimore Ave., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Booth Towers (Restricted - tenants only),"220 Sommerville Ave., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Queen City Towers (Restricted - tenants only),"235 Paca Street., Cumberland, MD 21502",10am-11am,Mon-Fri
Food Pantry,Allegany,Interfaith Pantry,"301 Cumberland St., Cumberland, MD 21502",9am-2pm,Mon-Fri
Food Pantry,Allegany,Healing Hunger,"19210 Opessa St. S/E, Oldtown, MD 21555",9am-2pm,Tue & Fri
Food Pantry,Allegany,Hope Station,"6 Pershing St., Cumberland, MD 21502",9am-3pm,Mon-Fri
Food Pantry,Allegany,Lavale Assembly Church,"525 National Highway, Lavale, MD 21502",10am-11am,Mon-Fri
Food Pantry,Anne Arundel,All Hallows Episcopal Church,"3604 Sol. Is. Rd, Davidsonville, MD 21035",9:30am-12pm,Mon
Food Pantry,Anne Arundel,Annapolis Church of God,"84 Janwal Street, Annapolis, MD 21403","9am-5pm, 11-2pm","Tue,Th,Fri,Sun"
Food Pantry,Anne Arundel,Annapolis Garden,"1840 Bowman Court, Annapolis, MD 21401",Call,
Food Pantry,Anne Arundel,Annapolis Spanish Church,"1840 Margaret Avenue, Annapolis, MD 21401",12-2pm,Sat
Food Pantry,Anne Arundel,Apostolic House of Prayer,"413 Headquarters Dr., Millersville",Call,Mon-Fri
Food Pantry,Anne Arundel,Asbury Broadneck UMC,"657 Broadneck Rd., Annapolis, MD 21401",10-12pm,2nd & 4th Th
Food Pantry,Anne Arundel,Asbury UMC,"87 West Street, Annapolis, MD 21401",1-3pm,"Wed,Fri,Sat"
Food Pantry,Anne Arundel,Beacon Light 7th Day,"1943 Drew Street, Annapolis, MD 21403",7-9:30pm,Tue
Food Pantry,Anne Arundel,Advent,,9-9:30am,Sat
Food Pantry,Anne Arundel,Brooklyn Heights UMC,"110 Townsend Ave., Brooklyn, MD 21225",Call,Mon-Fri
Food Pantry,Anne Arundel,Brooklyn UMC,"4th & Pontiac, Brooklyn MD 21225",9am-12noon,"Mon,Wed,Th"
Food Pantry,Anne Arundel,Burwood Gardens,"6652 Shelly Rd., Glen Burnie, MD 21061",Call,Mon-Fri
Food Pantry,Anne Arundel,Cecil Memorial UMC,"15 Parole Street, Annapolis, MD 21401",Call,
Food Pantry,Anne Arundel,Chews Memorial UMC,"492 Owensville Road, Harwood, MD 20776",9am-12pm,1st and 3rd Fri
Food Pantry,Anne Arundel,Christian Assistance Program,"1239 Murray Rd, Odenton, MD 21113","11am-1pm, 3pm-5pm","Tue, Th"
Food Pantry,Anne Arundel,Church on the Rocks,"900 Church Street, Baltimore, MD 21225",9am-11am,Tue & Th
Food Pantry,Anne Arundel,Community UMC,"8680 Fort Smallwood Rd, Pasadenia 21122",9am-3pm,Mon-Fri (Call first)
Food Pantry,Anne Arundel,Faith Assembly of God,"250 W. Bayfront Road, Lothian, MD 20711",Call First,
Food Pantry,Anne Arundel,Faith Baptist Church,"7857 Furnace Branch Rd Glen Burnie MD 21061",9:30am-3:30pm,Mon-Fri
Food Pantry,Anne Arundel,First Baptist of Eastport,"206 Chesapeake Ave., Annapolis, MD 21403",10am-12noon,Tue
Food Pantry,Anne Arundel,First Baptist of Edgewater,"38 W. Central Ave., Edgewater, MD 21037",9:30am-2:30pm,Mon-Fri
Food Pantry,Anne Arundel,First Baptist of Annapolis,"31 W. Washington St., Annapolis, MD 21401",11am-1pm,Sat
Food Pantry,Anne Arundel,Faith Community,"212 B Street, Lothian MD 20711",9am-12pm,"Fri, 3rd Sat"
Food Pantry,Anne Arundel,Gospel Assembly,"3555 4th Street, Brooklyn, MD 21225","1pm-2pm, 5:30-6:45","Sun, Th"
Food Pantry,Anne Arundel,Greater Morning Star Apos Church,"8069 Telegraph Rd., Severn, MD 21113",10am-12pm,Sat
Food Pantry,Anne Arundel,Heritage Baptist,"1740 Forest Drive, Annapolis, MD 21401","8am-11:30am, 1:30-3pm",Mon-Fri
Food Pantry,Anne Arundel,Holly Temple Cathedral,"708 Bestgate Rd., Annapolis, MD 21401",Call for hours,
Food Pantry,Anne Arundel,Iglesia Hispana,"16010 Annapolis Rd., Bowie, MD 20715",3pm-5pm,Sunday
Food Pantry,Anne Arundel,John Welsley UMC,"6922 N. Richie Hwy. GB, MD 21061",Call,
Food Pantry,Anne Arundel,Lighthouse Shelter,"206 West Street, Annapolis, MD 21401",9am-3pm,Mon-Fri
Food Pantry,Anne Arundel,Lighthouse of Southern MD,"300 Fairhaven Rd., Tracey's Landing MD 20779",Call,
Food Pantry,Anne Arundel,Love & Action,"414 Fourth St., Eastpoint, MD 21403",10am-1pm,"Mon, Wed, Fri"
Food Pantry,Anne Arundel,Love is the Key Ministries,"3600 South Haven St., Baltimore, MD 21225",Call,
Food Pantry,Anne Arundel,Magothy UMC,"3703 Mountain Rd., Pasadena, MD 21122",11am-12pm,Sat
Food Pantry,Anne Arundel,Mount Olive AME Church,"2 Hicks Avenue, Annapolis, MD 21401",Call,
Food Pantry,Anne Arundel,My Brothers Pantry,"P.O. Box 223, Arnold, MD 21012",Call,
Food Pantry,Anne Arundel,NCEON,"304 5th St., Glen Burnie, MD 21061",10am-3:30pm,"Mon, Wed, Fri"
Food Pantry,Anne Arundel,Our Lady of Perpetual Help,"515 Loch Haven Rd., Edgewater, MD 21037",10am-12noon,Wed-Fri
Food Pantry,Anne Arundel,Pasadena Church of God in Christ,"Old Mill & Logan Rd. Pasadena, MD 21122",Call,
Food Pantry,Anne Arundel,Rapture Church,"1834 George Ave., Annapolis, MD 21401",2pm-7pm,Mon-Sat
Food Pantry,Anne Arundel,Restoration Community Dev.,"1812 Virginia Ave., Annapolis MD 21401",9am-12pm,Sat
Food Pantry,Anne Arundel,Riva Trace Baptist,"2990 Riva Trace Pkwy., Annapolis, MD 21401",9am-12pm,1st Sat
Food Pantry,Anne Arundel,S.C.A.N,"5757 Sol. Island Road, Lothian, MD 20711",Call,
Food Pantry,Anne Arundel,Salvation Army,"351 Hilltop Lane, Annapolis, MD 21401","8am-12pm, 12:30pm-4pm",Mon-Fri
Food Pantry,Anne Arundel,Salvation Army,"511 So. Crain Hwy., Glen Burnie, MD 21061",9am-4pm,Mon-Fri
Food Pantry,Anne Arundel,Spanish Church in Brooklyn,"P.O. Box 1977, Glen Burnie, MD 21061",Call,
Food Pantry,Anne Arundel,South County Emergency Baby Pantry,"220 Owensville Rd, West River, MD 20778",Baby Pantry only - Call,
Food Pantry,Anne Arundel,SPAN,"400 Benfield Rd., Severna Park, MD 21146","10am-2pm, 5pm-7pm","Mon-Fri, Mon only"
Food Pantry,Anne Arundel,St. Elizabeth Ann Seton,"1800 Seton Dr., Crofton, MD 21114",9am-4pm,Mon-Fri
Food Pantry,Anne Arundel,St. John the Evangelist,"689 Ritchie Hwy., Severna Park, MD 21146","10am-12pm, 2pm-4pm",Tue & Thu
Food Pantry,Anne Arundel,St. James Apostolic,"7566 E. Howard Rd., Glen Burnie, MD 21061",12pm-3pm,4th Tue
Food Pantry,Anne Arundel,St. Marks,"1440 Dorsey Rd., Hanover, MD 21076",8am-10am,Last Sat
Food Pantry,Anne Arundel,Trinity Outreach Church Fellowship,"108 Old Soloman's Island, Annapolis, MD 21401",1pm-5pm,Thu
Food Pantry,Anne Arundel,Wayman Good Hope,"100 Hoyle Lane, Severna Park, MD 21146",Call,
Food Pantry,Anne Arundel,YMCA of Annapolis,"1517 Ritchie Hwy, Arnold, MD 21012",2:30pm-5:30pm,Tue-Thu
Food Pantry,Anne Arundel,Wilson Memorial Church,"Rt. 3 North, Gambrills, MD 21054",9am-12pm,Mon
Food Pantry,Baltimore City,Abundant Life I,"3915 Callaway Ave., Baltimore, MD 21215",9am-12pm,Mon
Food Pantry,Baltimore City,Abundant Life II,"5110 Balto Natl. Pike apt 4, Baltimore, MD 21229",9am-12pm,Mon
Food Pantry,Baltimore City,Adams Chapel AME,"3813 Egerton Rd., Baltimore, MD 21215",11am-1pm,"Wed, Sat"
Food Pantry,Baltimore City,Agape House,"222 N. Carrollton Ave., Baltimore, MD 21223",12pm-6pm,"Wed, Sat"
Food Pantry,Baltimore City,AMES Memorial AME,"615 Baker St., Baltimore, MD 21217",11am-1pm,Tue
Food Pantry,Baltimore City,Bethany Baptist Church,"2616 Ridgeley St., Baltimore, MD 21230",9am-12pm,Mon-Fri
Food Pantry,Baltimore City,Bethel Church of God,"301 W. 28th Street, Baltimore, MD 21211",9am-12pm,Fri
Food Pantry,Baltimore City,Brothers Praise Him,"1000 West Saratoga St., Baltimore, MD 21229",12pm-2pm,"Tue, Thu"
Food Pantry,Baltimore City,Carter Memorial Emergency,"745 West Fayette St., Baltimore, MD 21201",10am-2pm,Thu
Food Pantry,Baltimore City,Central Baptist Church,"2035 West Baltimore St., Baltimore, MD 21223",12pm-2pm,Sat
Food Pantry,Baltimore City,Chase House,"1027 Cathedral St., Baltimore, MD 21201",10am-2pm,Fri
Food Pantry,Baltimore City,Cherry Hill UMC,"3225 Round Rd., Baltimore, MD 21225","6pm-8pm, 10am-2:30pm","Tue, Sat"
Food Pantry,Baltimore City,Christ Commission Church,"2924 Erdman Ave., Baltimore, MD 21213",12pm-3pm,Sat
Food Pantry,Baltimore City,Christ Deliverance Church,"711 Walnut Ave., Baltimore, MD 21229",12pm-6pm,"M, W, F, S"
Food Pantry,Baltimore City,Christian Memorial Church,"2001 West North Ave., Baltimore, MD 21217",10am-12pm,Sat
Food Pantry,Baltimore City,Church Of Jesus Christ,"2880 Hillen Road, Baltimore, MD 21218",10am-3pm,"Mon, Thu"
Food Pantry,Baltimore City,Claremont Homes,"4312 Clareway, Baltimore, MD 21213",10am-2pm,"Mon, Wed, Fri"
Food Pantry,Baltimore City,Concord Baptist Church,"5204 Liberty Heights Ave., Baltimore, MD 21207",10am-11:30am,4th Sat
Food Pantry,Baltimore City,Corpus Christi,"703 Whitelock St., Baltimore, MD 21217",1:30pm-3pm,Thu
Food Pantry,Baltimore City,Deliverance Manna,"3538 Old York Road, Baltimore, MD 21218","6pm-8pm, 10am-12pm","Thu, Sat"
Food Pantry,Baltimore City,Dept. of Housing Neighborhood,"22 S. Calhoun, Baltimore, MD 21223",10am-3pm,Mon
Food Pantry,Baltimore City,Donald Bentley Food Pantry,"2405 Loch Raven Blvd., Baltimore MD 21218",9am-12:30pm,Sat
Food Pantry,Baltimore City,Doswell Cathedral,"520 Doswell Ave., Baltimore, MD 21223",1pm-4pm,"Tue, Thu"
Food Pantry,Baltimore City,Dukeland Development,"1601 Gertrude St., Baltimore, MD 21216",12pm-8pm,"Mon, Fri"
Food Pantry,Baltimore City,East Baltimore Church of God,"2043 E. Baltimore St., Baltimore MD 21213",10am-3pm,"Sat, Sun"
Food Pantry,Baltimore City,Emergency Food Relief Fund,"1401 Pennsylvania Ave., Baltimore MD 21217",11:30am-1pm,Wed
Food Pantry,Baltimore City,First Apostolic Faith Church,"27 S. Caroline St., Baltimore, MD 21231",2:30pm-4:30pm,Sat
Food Pantry,Baltimore City,First Charity Baptist Church,"611 N. Aisquith St. Baltimore, MD 21202",11am-3pm,Fri-Sun
Food Pantry,Baltimore City,First Emmanuel Baptist Church,"2209 Park Ave, Baltimore, MD 21217",12pm-3pm,"Tue, Thu"
Food Pantry,Baltimore City,First Philadelphia Baptist,"2120 Greenmount Ave., Baltimore, MD 21218",10:30am-12:30pm,Thu-Fri
Food Pantry,Baltimore City,"Franciscan Center, Inc.","2212 Maryland Ave., Baltimore, MD 21218",10am-2pm,Mon-Fri
Food Pantry,Baltimore City,Gillis Memorial,"4016 Park Heights Ave., Baltimore MD 21215",9am-1pm,"Mon, Wed, Fri"
Food Pantry,Baltimore City,God's Time Ministry,"1014 N. Carrollton Ave., Baltimore MD 21217",12pm-2pm,Sat
Food Pantry,Baltimore City,Gospel Messenger,"2610 Keyworth Ave., Baltimore, MD 21215",9am-1pm,Thu
Food Pantry,Baltimore City,Gospel Tabernacle,"3100 Walbrook Ave., Baltimore, MD 21216",11am-3pm,"Sun, Mon, Fri"
Food Pantry,Baltimore City,Grace Memorial,"1100 N. Eden St., Baltimore, MD 21213",12pm-1:30pm,Tue
Food Pantry,Baltimore City,Greater Zion Church,"301 No. Gilmore Ave., Baltimore, MD 21223",1pm-4pm,"Wed, Fri"
Food Pantry,Baltimore City,Greenhill Apts.,"2501 Violet Ave, #710 N., Baltimore, MD 21215",10am-12pm,Wed
Food Pantry,Baltimore City,Hampden UMC,"3449 Falls Rd., Baltimore, MD 21211",9am-12pm,"Mon, Wed"
Food Pantry,Baltimore City,Harford Senior Center,"4920 Harford Rd., Baltimore, MD 21214",10am-2pm,Mon-Fri
Food Pantry,Baltimore City,Harvest Christian,"2601 Pennsylvania Ave., Baltimore, MD 21217",10am-12pm,Wed
Food Pantry,Baltimore City,Harvey Johnson Towers,"1510 WE. Mosher St., Baltimore, MD 21217",9am-2pm,Sat
Food Pantry,Baltimore City,Healthy Start,"610 N. Chester St., Baltimore, MD 21205",8:30am-4:30pm,Mon-Fri
Food Pantry,Baltimore City,Healthy Start,"1622 N. Carey St., Baltimore, MD 21217",8:30am-4:30pm,Mon-Fri
Food Pantry,Baltimore City,Helping Hands Food Pantry,"1911 Belair Rd., Baltimore, MD 21213",9am-1pm,Sat
Food Pantry,Baltimore City,Homestead UMC,"1500 Gorsuch Ave., Baltimore, MD 21218",11:30am-2pm,Tue
Food Pantry,Baltimore City,Household of Faith Missionary,"4811 Belair Rd., Baltimore, MD 21206",12pm-2pm,Sat
Food Pantry,Baltimore City,Human Services Division-4th,"1133 Pennsylvania Ave., Baltimore, MD 21201",9am-3pm,Tue-Fri
Food Pantry,Baltimore City,Israel Baptist Outreach,"1211 N. Chester St., Baltimore, MD 21213","11am-2pm, 5pm-7pm","Mon, Tue, Thu, Wed, Fri"
Food Pantry,Baltimore City,JB Outreach Ministries,"301 N. Stricker St., Baltimore, MD 21223",10am-2pm,2nd & 4th Th
Food Pantry,Baltimore City,Johnston Square Community Development,"841 E. Chase St., Baltimore, MD 21202",1pm-4pm,Mon-Fri
Food Pantry,Baltimore City,Judah Worship Center,"2000 Frederick Ave., Baltimore, MD 21223",10am-2pm,"Wed, Sat"
Food Pantry,Baltimore City,Lexington Poe,"206 N. Fremont Ave., Baltimore, MD 21201",9am-3pm,Tue-Fri
Food Pantry,Baltimore City,Love of God,"3216 W. Baltimore St., Baltimore, MD 21229",11am-2pm,Wed
Food Pantry,Baltimore City,Macedonia Baptist Church,"718 W. Lafayette St., Baltimore, MD 21217",10am-2pm,Tue
Food Pantry,Baltimore City,Manna Ministry of Greater Gethsemane,"2511 E. Preston St., Baltimore, MD 21213",10am-12pm,Thu
Food Pantry,Baltimore City,Maryland Church of God,"5100 Denmore Ave., Baltimore, MD 21215",12pm-5pm,Mon-Fri
Food Pantry,Baltimore City,Mason Memorial,"2608 Frederick Ave., Baltimore, MD 21223",9am-12pm,Wed
Food Pantry,Baltimore City,Metropolitan Church Pantry,"4815 Eastern Ave., Baltimore, MD 21224",9am-10am,Sat
Food Pantry,Baltimore City,Mount Moriah Baptist Church,"2201 Garrison Blvd., Baltimore, MD 21216",8:30am-12:30pm,Mon
Food Pantry,Baltimore City,Mount Olive Holy Evangelistic,"3816 Edmonson Ave., Baltimore, MD 21229",11:30am-2:30pm,Mon
Food Pantry,Baltimore City,Mt. Calvary Holy Temple,"1911 Bloomingdale Rd., Baltimore, MD 21216",1pm-6pm,Mon-Fri
Food Pantry,Baltimore City,Mt. Lebanon Baptist Church,"2812 Reisterstown Rd., Baltimore, MD 21215",10am-12pm,"Wed, Sat"
Food Pantry,Baltimore City,Mt. Oliver Missionary,"513 E. 36th Street, Baltimore, MD 21218",10am-2pm,Tue
Food Pantry,Baltimore City,Mt. Calvary Star Baptist Church,"1725 N. Milton Ave., Baltimore, MD 21213",11am-2pm,"Sat, Sun"
Food Pantry,Baltimore City,New Bethel Bible Church,"710 Poplar Grove St., Baltimore, MD 21216",10am-2pm,Thu
Food Pantry,Baltimore City,New Fellowship Christian Community,"5202 Park Heights Ave., Baltimore, MD 21215",9am-12:30pm,Wed
Food Pantry,Baltimore City,New Friendship Baptist,"1515 E. Eager St., Baltimore, MD 21205","11am-1pm, 9am-11am","Mon, Tue, Thu"
Food Pantry,Baltimore City,New Gabriel Baptist Church,"1041 Wilmington Ave., Baltimore, MD 21223",8am-12pm,Sun
Food Pantry,Baltimore City,New Hope Church of God,"6601 Cleveland Ave., Baltimore, MD 21224",10am-6pm,Mon-Fri
Food Pantry,Baltimore City,New Life Evangelical Baptist,"2417 E. North Ave., Baltimore, MD 21213",9am-4pm,Mon-Fri
Food Pantry,Baltimore City,New Mount Zion Baptist Church,"817 N. Mount St., Baltimore, MD 21217",10am-12pm,Wed-Sat
Food Pantry,Baltimore City,New Rose of Sharon Baptist Church,"2 N. Carey St., Baltimore, MD 21223",10am-1pm,Tue
Food Pantry,Baltimore City,New Shiloh Baptist Church,"2100 N. Monroe St., Baltimore, MD 21217",1pm-2pm,Sat
Food Pantry,Baltimore City,New Tabernacle,"300 S. Patterson Park Ave., Baltimore, MD 21231",11am-1pm,Sat
Food Pantry,Baltimore City,New Temple,"1101 N. Dukeland St., Baltimore, MD 21216",Call,
Food Pantry,Baltimore City,North Baltimore CARES,"5502 York Rd., Baltimore, MD 21212",9am-11am,"Mon, Thu"
Food Pantry,Baltimore City,Paris Domicilary,"1024 W. Cross St., Baltimore, MD 21230",9am-4pm,Mon-Fri
Food Pantry,Baltimore City,Park Heights Community Center,"4917 Park Heights Ave., Baltimore, MD 21215",10am-4pm,Mon-Fri
Food Pantry,Baltimore City,Paul's Place Outreach Center,"1118 Ward St., Baltimore, MD 21230",8:30am-11am,Mon-Fri
Food Pantry,Baltimore City,Payne Memorial Church,"1714 Madison Ave., Baltimore, MD 21216",10am-2pm,"Mon, Tue, Wed, Thu"
Food Pantry,Baltimore City,People's Church of Baltimore,"230 N. Fulton Ave., Baltimore, MD 21223",9am-12pm,Sat
Food Pantry,Baltimore City,Perkins Square Baptist Church,"2500 Edmondson Ave., Baltimore, MD 21223",2pm-5pm,Mon-Fri
Food Pantry,Baltimore City,Pillar of Truth,"2522 Greenmount Ave., Baltimore, MD 21218",9am-5pm,Mon-Sat
Food Pantry,Baltimore City,Pitts Outreach,"1142 N. Fulton Ave., Baltimore, MD 21217",2:30pm-3pm,"Wed, Thu"
Food Pantry,Baltimore City,Pleasant Grove Food,"214 S. Loudon Ave., Baltimore, MD 21229",10am-2pm,"Mon, Thu"
Food Pantry,Baltimore City,Pleasant View Gardens,"201 N. Aisquith St., Baltimore, MD 21202",10am-2pm,Fri
Food Pantry,Baltimore City,Poppleton Co-op,"838 W. Fairmont Ave., Baltimore, MD 21201",11am-3pm,Mon-Fri
Food Pantry,Baltimore City,Prisoners Aid,"204 25th Street, Baltimore, MD 21218",10am-6pm,Wed
Food Pantry,Baltimore City,Quality of Life Corp,"2630 Harford Rd., Baltimore, MD 21218",10am-2pm,"Mon, Thu"
Food Pantry,Baltimore City,Redemporist Fathers,"901 E. Eager St., Baltimore, MD 21202",9:30am-11:30am,"Tue, Wed, Thu"
Food Pantry,Baltimore City,Refuge Way of Cross Church,"4301 Old York Rd., Baltimore, MD 21212",12pm-2pm,Wed
Food Pantry,Baltimore City,Royal Light Outreach,"1562 N. Fulton Ave., Baltimore, MD 21217",11am-1pm,"Tue, Thu"
Food Pantry,Baltimore City,Salvation Army,"814 Light St., Baltimore, MD 21230",8:30am-12pm,Mon-Fri
Food Pantry,Baltimore City,Sharon Baptist,"1373 N. Stricker St., Baltimore, MD 21217",10am-12pm,3rd Sat
