market_id,name,street,city,state,zip,latitude,longitude,website,season_1_dates,season_1_hours,season_2_dates,season_2_hours,season_3_dates,season_3_hours,season_4_dates,season_4_hours,accepts_snap,accepts_wic,payment_methods,products_available
1002061,American Market@National Harbor,American Way National,Harbor,MD,20745,38.783762,-77.01422,http://www.nationalharbor.com,05/04/2013 to 10/26/2013,Saturday: 10:00 AM-4:00 PM,,,,,,,True,False,CREDIT; SFMNP; SNAP,Baked Goods; Crafts; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Plants; Prepared Food; Soap; Wine
1010258,The Farmers Market at Maryland,on Union Street in front of the Cole Student Activities Center College,Park,MD,20742,38.98732,-76.946601,http://crs.umd.edu/Wellness/Farmers-Market?nomo=1,04/16/2014 to 11/19/2014,Wednesday: 11:00 AM-3:00 PM,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Baked Goods; Cheese; Flowers; Eggs; Seafood; Herbs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food
1000184,Freedom Farmers Market,10905 Livingston Road Fort,Washington,,,38.742988,-76.999859,http://www.FreedomManor.com,05/22/2013 to 10/23/2013,Wednesday: 2:00 AM-7:00 PM,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Crafts; Flowers; Eggs; Vegetables; Plants; Soap; Trees
1005649,Mount Rainier Farmers Market,One Municipal Place Mount,Rainier,,,38.9365,-76.9603,http://www.mountrainierfarmersmarket.com,,,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Baked Goods; Cheese; Flowers; Herbs; Vegetables; Honey; Meat
1003270,Greenbelt Farmers Market,113 Centerway,Greenbelt,,,39.0009,-76.8774,http://www.greenbeltfarmersmarket.org,05/11/2014 to 11/23/2014,Sunday: 10:00 AM-2:00 PM,,,,,,,False,True,CREDIT; WIC; SFMNP,Baked Goods; Flowers; Eggs; Seafood; Herbs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food; Soap; Wine
1005764,The Farmers Market at Maryland,1132 Cole Student Activities Bldg College,Park,,,38.9874,-76.9464,http://www.farmersmarket.umd.edu,04/17/2013 to 11/20/2013,Wednesday: 11:00 AM-3:00 PM,,,,,,,False,False,CREDIT,Baked Goods; Cheese; Flowers; Eggs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food
1006524,Bowie Farmers' Market,15200 Annapolis Road (adjacent to Bowie Center for Performing Arts),Bowie,,,38.9774,-76.7431,http://www.cityofbowie.org/LeisureActivities/farmers_market.asp,05/19/2013 to 10/27/2013,Sunday: 8:00 AM-12:00 PM,,,,,,,False,True,CREDIT; WIC,Baked Goods; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Maple; Prepared Food; Trees
1002054,College Park Farmer's Market,5211 Paint Branch Parkway College,Park,,,38.97583,-76.92268,,May to November,Saturday: 7:00 AM - 12:00 PM,,,,,,,False,True,CREDIT; WIC; SFMNP,Baked Goods; Cheese; Crafts; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Nursery; Nuts; Prepared Food
1006269,Montpelier Farmers Market,1720 North Crain Highway Upper,Marlboro,,,38.863671,-76.72298,http://www.montpelierfarms.com,05/03/2014 to 08/30/2014,Saturday: 9:00 AM-3:00 PM,09/06/2014 to 11/01/2014,Saturday: 10:00 AM-11:00 PM; Sunday: 11:00 AM-7:00 PM,,,,,True,True,CREDIT; WIC; WICCASH; SFMNP; SNAP,Baked Goods; Crafts; Eggs; Herbs; Vegetables; Honey; Jams; Maple; Nuts; Poultry; Prepared Food; Wine
1010085,Glenn Dale Farmers' Market,5626 Bell Station Road Glenn,Dale,,,38.966271,-76.799341,http://www.glenndalefarmersmarket.com,05/03/2014 to 11/22/2014,Saturday: 9:00 AM-2:00 PM,,,,,,,True,True,CREDIT; WIC; SFMNP; SNAP,Baked Goods; Cheese; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food; Soap; Trees
1004864,Suitland Farmers' Market,4508 Suitland Road,Suitland,,,38.85171509,-76.93019104,http://www.suitlandonline.us/programs/the-suitland-farmers-market.html,06/04/2013 to 11/05/2013,Monday: 3:00 PM-7:00 PM; Tuesday: 3:00 PM-7:00 PM; Wednesday: 3:00 PM-7:00 PM; Thursday: 3:00 PM-7:00 PM; Friday: 3:00 PM-7:00 PM,,,,,,,True,True,CREDIT; WIC; WICCASH; SFMNP; SNAP,Baked Goods; Eggs; Vegetables
1006935,Laurel Farmers' Market,300 Main Street,Laurel,,,39.1041,-76.8439,,,,,,,,,,False,True,CREDIT; WIC; SFMNP,Vegetables
1007584,Branch Avenue in Bloom Farmers' Market,3737 Branch Ave (Iverson Mall) Temple,Hills,,,38.8388,-76.9461,,,,,,,,,,False,False,CREDIT,
1010836,Roots & Stems Community Farmers' Market,6700 Bock Road Fort,Washington,,,38.799139,-76.980076,,05/02/2015 to 10/31/2015,Saturday: 9:00 AM-2:00 PM,,,,,,,True,False,CREDIT; SNAP,Baked Goods; Crafts; Flowers; Eggs; Vegetables; Plants; Soap
1000718,USDA Beltsville Farmers' Market,5601 Sunnyside Avenue,Beltsville,,,39.020676,-76.909791,,05/01/2013 to 10/31/2013,Thursday: 10:00 AM-2:00 PM,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Baked Goods; Crafts; Flowers; Herbs; Vegetables; Jams; Nuts; Plants; Prepared Food; Soap
1004073,Riverdale Park Farmers Market,4650 Queensbury Road Riverdale,Park,,,38.962979,-76.935311,http://www.rpfm.org,04/03/2014 to 11/20/2014,Thursday: 3:00 PM-7:00 PM,,,,,,,True,True,CREDIT; WIC; WICCASH; SFMNP; SNAP,Baked Goods; Cheese; Crafts; Flowers; Eggs; Seafood; Herbs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food; Soap; Wine
1004506,Hyattsville Farmers' Market,3505 Hamilton Street,Hyattsville,,,38.954337,-76.960337,,06/11/2013 to 10/29/2013,Tuesday: 2:00 PM-6:00 PM,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Baked Goods; Eggs; Vegetables; Honey; Jams; Plants
1002874,Cheverly Community Market,6401 Forest Road,Cheverly,,,38.92414,-76.90633,http://www.cheverlycommunitymarket.com,,,,,,,,,False,True,CREDIT; WIC; WICCASH; SFMNP,Baked Goods; Crafts; Eggs; Seafood; Herbs; Vegetables; Honey; Jams; Meat; Plants; Poultry; Prepared Food; Soap; Trees; Wine
1002053,College Park City Hall Farmers' Market,4500 Knox Road College,Park,,,38.98095,-76.93738,,April to November,Sunday: 9:00 AM - 2:00 PM,,,,,,,False,True,CREDIT; WIC; SFMNP,Baked Goods; Cheese; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Nursery; Nuts; Prepared Food
1010279,Route 1 Farmers Market,4100 Rhode Island Ave,Brentwood,,,38.940342,-76.954239,http://www.rt1farmersmarket.com,06/06/2014 to 09/27/2014,Friday: 4:00 PM-8:00 PM; Saturday: 8:00 AM-2:00 PM,,,,,,,True,False,CREDIT; SNAP,Baked Goods; Crafts; Honey; Jams; Plants; Prepared Food; Soap
1003377,Our Local Bounty Farmers Market at St. Thomas Church,14300 St Thomas Church Road Upper,Marlboro,,,38.748675,-76.760111,http://www.stthomascroom.org,06/01/2013 to 09/28/2013,Saturday: 8:00 AM-12:00 PM,,,,,,,False,True,CREDIT; WIC; SFMNP,Baked Goods; Flowers; Eggs; Herbs; Vegetables; Honey; Jams; Meat; Poultry; Trees; Wine
